Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Judgment of the Court - 30 June 2016#Lidl#Case C-134/15,62015CJ0134,,,,,,,,6/30/2016,Court of Justice,,
"Judgment of the Court (Sixth Chamber) of 23 December 2015.#Firma Theodor Pfister v Landkreis Main-Spessart.#Reference for a preliminary ruling — Agriculture — Health inspections — Official feed and food controls — Financing of controls — Inspection costs relating to slaughter — Regulation (EC) No 882/2004 — Directive 85/73/EEC — Possibility of levying fees covering the actual cost of inspection, exceeding the fees set by that directive.#Case C-58/15.",62015CJ0058_INF,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general - 'Information on unpublished decisions' section)
Judgment of the Court (Ninth Chamber) of 23 December 2015.#European Commission v Hellenic Republic.#Failure of a Member State to fulfil obligations — Directive 2003/88/EC — Organisation of working time — Daily rest — Weekly rest — Maximum weekly working time.#Case C-180/14.,62014CJ0180_INF,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general - 'Information on unpublished decisions' section)
Judgment of the Court (Second Chamber) of 23 December 2015.#Scotch Whisky Association and Others v The Lord Advocate and The Advocate General for Scotland.#Reference for a preliminary ruling — Common organisation of the markets in agricultural products — Regulation (EU) No 1308/2013 — Free movement of goods — Article 34 TFEU ‐ Quantitative restrictions — Measures having equivalent effect — Minimum price of alcoholic drinks calculated according to the alcoholic strength of the product — Justification — Article 36 TFEU ‐ Protection of human life and health — Assessment by the national court.#Case C-333/14.,62014CJ0333_SUM,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Third Chamber) of 23 December 2015.#European Parliament v Council of the European Union.#Actions for annulment — Replacement of the contested decision in the course of the proceedings — Purpose of the action — Police and judicial cooperation in criminal matters — New psychoactive substance subjected to control measures — Legal framework applicable after the entry into force of the Treaty of Lisbon — Transitional provisions — Consultation of the European Parliament.#Case C-595/14.,62014CJ0595_SUM,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 23 December 2015.#Rüdiger Hobohm v Benedikt Kampik Ltd & Co. KG and Others.#Reference for a preliminary ruling — Judicial cooperation in civil and commercial matters — Regulation (EC) No 44/2001 — Jurisdiction in respect of consumer contracts — Articles 15(1)(c) and 16(1) — Meaning of a commercial or professional activity ‘directed to’ the Member State of the consumer’s domicile — Transaction-management contract designed to achieve the economic objective pursued by means of a brokerage contract concluded beforehand in the course of a commercial or professional activity ‘directed to’ the Member State of the consumer’s domicile — Close link.#Case C-297/14.,62014CJ0297_SUM,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (First Chamber) of 23 December 2015.#Air France-KLM and Hop!-Brit Air SAS v Ministère des Finances et des Comptes publics.#Value added tax — Chargeable event and chargeability — Air transport — Ticket purchased but not used — Provision of the transport service — Issue of the ticket — Time of payment of the tax.#Case C-250/14.,62014CJ0250_SUM,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (First Chamber) of 23 December 2015.#Gebhart Hiebler v Walter Schlagbauer.#Reference for a preliminary ruling — Directive 2006/123/EC — Scope ratione materiae — Activities which are connected with the exercise of official authority — The trade of chimney sweep — Fire safety regulation tasks — Territorial restriction of the licence to trade — Service of general economic interest — Necessity — Proportionality.#Case C-293/14.,62014CJ0293_SUM,,,,,,,,12/23/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Third Chamber) of 23 December 2015.#European Parliament v Council of the European Union.#Actions for annulment — Replacement of the contested decision in the course of the proceedings — Purpose of the action — Police and judicial cooperation in criminal matters — New psychoactive substance subjected to control measures — Legal framework applicable after the entry into force of the Treaty of Lisbon — Transitional provisions — Consultation of the European Parliament.#Case C-595/14.,62014CJ0595,,,,,ECLI:EU:C:2015:847,"judicial cooperation in criminal matters, area of freedom, security and justice",,12/23/2015,"Bot, Court of Justice",,Digital reports (Court Reports - general)
Judgment of the Court (Third Chamber) of 17 December 2015.#Proximus SA v Commune d'Etterbeek.#Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/20/EC — Articles 12 and 13 — Administrative charges — Fee for rights to install facilities — Scope — Municipal legislation — Charge on mobile telephony antennae.#Case C-454/13.,62013CJ0454_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Third Chamber) of 17 December 2015.#Proximus SA v Province de Namur.#Reference for a preliminary ruling — Electronic communications networks and services — Directive 97/13/EC — Articles 4 and 11 — Directive 2002/20/EC — Article 6 — Conditions which may be attached to the general authorisation and to the rights of use for radio frequencies and numbers, and specific obligations — Article 13 — Fee for the rights to install facilities — Scope — Provincial legislation — Charge on mobile telephony network transmission and reception pylons and/or units.#Case C-517/13.",62013CJ0517_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 17 December 2015.#APEX GmbH Internationale Spedition v Hauptzollamt Hamburg-Stadt.#Reference for a preliminary ruling — Commercial policy — Dumping — Gas-fuelled, non-refillable pocket flint lighters — Regulation (EC) No 1225/2009 — Article 11(2) — Expiry — Article 13 — Circumvention — Implementing Regulation (EU) No 260/2013 — Validity — Extension of an anti-dumping duty at a date on which the regulation which imposed it is no longer in force — Change in the pattern of trade.#Case C-371/14.",62014CJ0371_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
