Topics,Alpha,Beta,Coherence
5,0.31,0.9099999999999999,-0.9511644026352728
5,0.31,0.31,-0.9547948632056968
5,0.61,0.31,-0.9610014807117315
5,symmetric,0.61,-0.9763891776998082
10,0.61,0.01,-0.9824413255414945
7,symmetric,symmetric,-0.9947805368532505
5,0.61,0.9099999999999999,-1.0102631322172249
7,0.9099999999999999,0.31,-1.011416247488045
5,0.01,0.9099999999999999,-1.0129707734565445
5,0.9099999999999999,0.01,-1.0146742297411813
5,asymmetric,0.01,-1.0181808366279572
5,symmetric,symmetric,-1.0229864038111651
5,asymmetric,0.9099999999999999,-1.0256695614776714
7,0.9099999999999999,symmetric,-1.030599619453773
5,0.61,0.61,-1.0321977010649277
5,0.9099999999999999,0.31,-1.0356239998513572
7,0.61,symmetric,-1.0416285961518124
10,0.01,symmetric,-1.0435188955708576
7,0.9099999999999999,0.9099999999999999,-1.0449428514840875
10,0.9099999999999999,0.61,-1.0450399597645306
10,0.01,0.61,-1.045807079160625
10,symmetric,0.01,-1.0485929757248342
10,0.31,0.01,-1.0486671366335871
15,0.01,0.01,-1.0506288457044506
7,0.31,0.31,-1.0542704590571363
15,0.61,0.61,-1.0596132123963056
5,symmetric,0.01,-1.0630535309984495
7,0.01,0.9099999999999999,-1.0649489038271303
10,0.9099999999999999,0.31,-1.0652349804891228
10,0.61,0.9099999999999999,-1.0672372448206322
5,0.9099999999999999,0.61,-1.0687834407667278
7,symmetric,0.01,-1.0717234316548332
10,symmetric,symmetric,-1.0722378012568896
10,0.61,0.61,-1.0773081999798702
10,asymmetric,0.9099999999999999,-1.0777975906278048
7,0.01,symmetric,-1.0790152265152435
5,0.01,0.31,-1.079093062380047
7,0.31,0.9099999999999999,-1.081131957452307
20,asymmetric,0.01,-1.0835534526496198
15,0.9099999999999999,0.9099999999999999,-1.0850797328243058
50,0.9099999999999999,0.9099999999999999,-1.0917700726608706
10,0.01,0.31,-1.0920276840716219
10,symmetric,0.31,-1.0933324840099587
10,0.31,symmetric,-1.093849357853689
15,0.31,symmetric,-1.094475581358709
10,asymmetric,symmetric,-1.0945148432339702
15,0.9099999999999999,0.01,-1.094610079439655
10,0.61,0.31,-1.0983336760985023
5,0.31,0.01,-1.1029416479982121
5,0.01,0.01,-1.103482825400368
20,0.61,0.31,-1.1042904459911134
10,asymmetric,0.31,-1.1053135930023632
7,0.61,0.9099999999999999,-1.1064653624488
15,asymmetric,symmetric,-1.1065551654090127
5,0.61,0.01,-1.1078641388523223
7,asymmetric,0.61,-1.108290111816025
15,symmetric,symmetric,-1.1083093371682875
7,symmetric,0.31,-1.1084768758695813
20,0.9099999999999999,0.31,-1.1145909303600938
15,0.31,0.61,-1.1148071150833234
10,0.9099999999999999,0.01,-1.1156865252158663
15,0.9099999999999999,0.31,-1.1157256031098832
7,0.31,0.61,-1.1179212163199832
7,0.61,0.61,-1.1180687017863917
15,0.01,symmetric,-1.1181035584761383
15,0.9099999999999999,symmetric,-1.1187138224883162
7,symmetric,0.9099999999999999,-1.1207796130222538
7,0.01,0.01,-1.1208048473600556
7,asymmetric,0.01,-1.1218794626863986
50,0.9099999999999999,0.31,-1.1235810876657568
15,0.61,0.31,-1.1243853895677716
10,0.9099999999999999,symmetric,-1.1245295338706076
50,0.61,0.01,-1.1263416729170082
20,0.61,symmetric,-1.1281238179040372
7,0.9099999999999999,0.01,-1.1286515511754938
15,0.61,0.9099999999999999,-1.1287087570848617
10,asymmetric,0.61,-1.1309920673694096
10,symmetric,0.9099999999999999,-1.1322303503364508
7,0.31,0.01,-1.1332706604400373
5,asymmetric,0.31,-1.1366334056910767
20,symmetric,0.01,-1.13833911407006
15,0.31,0.01,-1.1384763605075794
5,0.61,symmetric,-1.1387053069931916
20,symmetric,0.31,-1.1402302582318957
15,0.01,0.31,-1.1416379050319223
50,0.61,symmetric,-1.1418481193995054
15,asymmetric,0.61,-1.1423450471174244
15,0.31,0.9099999999999999,-1.1428542174764253
7,0.31,symmetric,-1.143450896799004
20,asymmetric,0.31,-1.1462636088286264
20,0.9099999999999999,0.61,-1.1471369647406409
50,0.61,0.31,-1.1481320846119463
10,0.9099999999999999,0.9099999999999999,-1.1511251588903468
50,0.31,0.61,-1.1515981439130423
7,0.01,0.31,-1.15441919591382
20,symmetric,symmetric,-1.155574471023589
15,0.9099999999999999,0.61,-1.1557406254752385
10,0.61,symmetric,-1.1562847479004303
20,0.01,0.9099999999999999,-1.1569319750447415
5,symmetric,0.9099999999999999,-1.157411986660645
5,0.9099999999999999,0.9099999999999999,-1.1583460866445432
15,0.01,0.9099999999999999,-1.158988190359346
15,asymmetric,0.31,-1.1595322744914305
10,symmetric,0.61,-1.1600883103041542
7,0.61,0.01,-1.1604000366058485
20,0.31,symmetric,-1.1604122052725812
50,0.9099999999999999,symmetric,-1.1610941789657518
50,0.9099999999999999,0.61,-1.16176593319415
5,asymmetric,symmetric,-1.163816245942981
20,0.01,0.61,-1.1641163523830362
50,0.31,0.31,-1.165051924695532
7,asymmetric,symmetric,-1.1672797384356126
7,asymmetric,0.9099999999999999,-1.1681246517425536
15,symmetric,0.9099999999999999,-1.1685897706111268
20,0.31,0.01,-1.1694037419549892
15,0.31,0.31,-1.1695077852780877
20,0.61,0.61,-1.169519458403902
5,asymmetric,0.61,-1.1701016490619505
20,asymmetric,symmetric,-1.1730768878888214
5,0.9099999999999999,symmetric,-1.1737456221082199
5,0.31,symmetric,-1.1758360441149738
20,symmetric,0.9099999999999999,-1.1758411121014176
7,0.61,0.31,-1.1760746515293994
20,0.31,0.31,-1.1774979942649224
5,symmetric,0.31,-1.17751381757315
20,0.9099999999999999,symmetric,-1.177597480940597
50,0.31,0.9099999999999999,-1.1781084731256535
20,0.61,0.01,-1.1801535499786915
15,symmetric,0.01,-1.1832933146551419
10,0.01,0.01,-1.1871054181768501
20,0.01,symmetric,-1.1885077286147192
15,symmetric,0.31,-1.1885923907671563
7,asymmetric,0.31,-1.189846078625506
7,symmetric,0.61,-1.1902415212924544
50,0.31,symmetric,-1.1904335677688116
20,0.9099999999999999,0.01,-1.1907274280717945
20,0.61,0.9099999999999999,-1.196922179546275
15,asymmetric,0.01,-1.1972126663016647
20,0.9099999999999999,0.9099999999999999,-1.1978040183190533
20,0.31,0.9099999999999999,-1.1979743477936597
50,0.61,0.9099999999999999,-1.198109350226333
20,asymmetric,0.61,-1.2032697001180062
10,asymmetric,0.01,-1.204774745090633
10,0.01,0.9099999999999999,-1.205234522772073
15,0.61,symmetric,-1.2058969136969278
50,0.01,0.01,-1.2063121484264125
50,0.9099999999999999,0.01,-1.209912472110739
50,asymmetric,0.9099999999999999,-1.2118870363278405
50,symmetric,0.01,-1.2123383989405694
50,0.31,0.01,-1.217698321409359
15,0.01,0.61,-1.2188075193569567
20,0.01,0.31,-1.2208214689800125
5,0.31,0.61,-1.2229349846252813
10,0.31,0.31,-1.2240519105481318
10,0.31,0.61,-1.2252753635583031
15,asymmetric,0.9099999999999999,-1.2290863492444453
20,0.01,0.01,-1.2299494598582583
5,0.01,symmetric,-1.2337082604797887
50,asymmetric,0.31,-1.23841018488245
15,symmetric,0.61,-1.2385379611016516
50,0.61,0.61,-1.2401009854991676
15,0.61,0.01,-1.2402597010414402
50,symmetric,symmetric,-1.2444079538164863
50,asymmetric,0.61,-1.2525147912467545
20,symmetric,0.61,-1.2543808766447482
50,symmetric,0.9099999999999999,-1.2582406994288196
20,0.31,0.61,-1.258658632480652
5,0.01,0.61,-1.2690926519306216
50,symmetric,0.61,-1.2704551877899968
7,0.9099999999999999,0.61,-1.2771028819416634
50,0.01,0.61,-1.2880695803658804
20,asymmetric,0.9099999999999999,-1.2905301653050318
7,0.01,0.61,-1.296957269091877
50,0.01,symmetric,-1.3006390083733566
10,0.31,0.9099999999999999,-1.3050945131240514
50,asymmetric,0.01,-1.3054555005153852
50,0.01,0.9099999999999999,-1.33731604956881
50,symmetric,0.31,-1.3530214062852088
50,asymmetric,symmetric,-1.3596350237774277
50,0.01,0.31,-1.3712620751109563
