"('lavor', 0.06877616)","('prestazion', 0.015956946)","('contratt', 0.009207989)","('social', 0.0089898715)","('pension', 0.008510892)","('assicur', 0.008024612)","('temp', 0.007890034)","('dator', 0.0075501273)","('accord', 0.0072519095)","('cittadin', 0.007248278)","('retribu', 0.0071032676)","('professional', 0.006387946)","('regim', 0.0063272845)","('medic', 0.005858535)","('dipendent', 0.0054093325)","('subordin', 0.005313561)","('sig.r', 0.00517407)","('discrimin', 0.005112209)","('territor', 0.0050644693)","('impieg', 0.0050097066)","('anni', 0.0049454127)","('formazion', 0.0048242877)","('rapport', 0.00457525)","('residt', 0.00448532)","('occup', 0.0043787328)"
"('medicinal', 0.018816173)","('spec', 0.015786007)","('progett', 0.014000922)","('sit', 0.011594189)","('alleg', 0.009991948)","('protezion', 0.009873492)","('habitat', 0.009403936)","('conserv', 0.009284824)","('sal', 0.008134345)","('zon', 0.008092492)","('elenc', 0.007181907)","('uccell', 0.006734339)","('ambiental', 0.006454654)","('rilasc', 0.00606845)","('natural', 0.0060565523)","('tutel', 0.005988768)","('ambient', 0.0057918094)","('repubbl', 0.0057180114)","('uman', 0.0057027526)","('brevett', 0.0054772864)","('scientif', 0.0051260954)","('impatt', 0.005045795)","('derog', 0.0050220545)","('aliment', 0.004646679)","('cacc', 0.004526819)"
"('trasport', 0.027483996)","('veicol', 0.025986565)","('voc', 0.012286359)","('immatricol', 0.00951428)","('circol', 0.009493363)","('nav', 0.009462895)","('not', 0.00839314)","('classif', 0.007988516)","('sottovoc', 0.007475228)","('apparecc', 0.007310781)","('autoveicol', 0.006997744)","('alleg', 0.0066371285)","('tecnic', 0.005917742)","('capitol', 0.0058414857)","('lussemburg', 0.00567624)","('destin', 0.005658846)","('funzion', 0.0055649304)","('televis', 0.0054873847)","('liber', 0.0054063015)","('granduc', 0.005298252)","('port', 0.0049952245)","('classific', 0.0049666204)","('usat', 0.0049168863)","('lussemburghes', 0.004869601)","('motor', 0.0048072785)"
"('impost', 0.040242847)","('societ', 0.029025476)","('fiscal', 0.01835534)","('ben', 0.016985107)","('sest', 0.016768817)","('prestazion', 0.011584103)","('pass', 0.010676071)","('resident', 0.009708352)","('esenzion', 0.009644198)","('valor', 0.008954733)","('capital', 0.008226742)","('cession', 0.008216891)","('redd', 0.008128625)","('vers', 0.0076861507)","('impon', 0.0072394037)","('imposizion', 0.006741172)","('pag', 0.0065651746)","('acquist', 0.0064142672)","('divid', 0.005652938)","('sed', 0.00517515)","('assoggett', 0.0051635047)","('tributar', 0.0051143332)","('aggiunt', 0.005105501)","('regim', 0.004824848)","('aliquot', 0.0048247557)"
"('appalt', 0.044872355)","('aggiud', 0.020497998)","('aggiudic', 0.01788483)","('gar', 0.014118322)","('offert', 0.012311157)","('organ', 0.010761179)","('contratt', 0.010624332)","('band', 0.009302325)","('lavor', 0.009258914)","('impres', 0.009013153)","('criter', 0.008751736)","('enti', 0.007929723)","('coordin', 0.007368314)","('concession', 0.0069414163)","('ente', 0.006830136)","('fornitur', 0.0066806655)","('offerent', 0.0059400904)","('energ', 0.005913803)","('societ', 0.005863955)","('attribu', 0.0052690324)","('elettr', 0.0052263234)","('partecip', 0.0049355943)","('esecu', 0.004737378)","('violazion', 0.004532347)","('tecnic', 0.004311432)"
"('impres', 0.015926436)","('societ', 0.0076289787)","('organ', 0.0073580947)","('personal', 0.0059270305)","('eserciz', 0.005816517)","('decret', 0.0057883826)","('ret', 0.0056999666)","('gestion', 0.00564969)","('tutel', 0.0055081383)","('access', 0.005417958)","('portoghes', 0.005161031)","('libert', 0.0051410277)","('restrizion', 0.0051009622)","('organizz', 0.0050767157)","('prestazion', 0.0049019717)","('liber', 0.004805748)","('cost', 0.004769537)","('regolament', 0.0047476217)","('invest', 0.004728685)","('settor', 0.004618174)","('rappresent', 0.004589263)","('licenz', 0.004540699)","('trasfer', 0.004505332)","('universal', 0.0043353667)","('numer', 0.0042844736)"
"('aiut', 0.052852493)","('repubbl', 0.01798421)","('regim', 0.013886046)","('recuper', 0.010599806)","('impugn', 0.010332117)","('italian', 0.009471144)","('impres', 0.008596997)","('beneficiar', 0.007843233)","('concess', 0.0071309158)","('nuov', 0.007005977)","('ital', 0.0066410652)","('esecu', 0.0065109143)","('pesc', 0.0061301347)","('adesion', 0.006076488)","('argoment', 0.0053898315)","('finanziar', 0.0053822994)","('spagn', 0.005323614)","('tribunal', 0.0049874745)","('contrib', 0.0049000434)","('settor', 0.004673076)","('pag', 0.0045835515)","('legittim', 0.0044818716)","('finanz', 0.0043914183)","('favor', 0.004249135)","('annull', 0.004104288)"
"('tribunal', 0.055308625)","('impugn', 0.040910713)","('ricorrent', 0.0253394)","('annull', 0.011706763)","('impres', 0.01102155)","('argoment', 0.010676628)","('prov', 0.009447976)","('violazion', 0.009295836)","('ammend', 0.008911343)","('infrazion', 0.008826558)","('respint', 0.008150778)","('accord', 0.007709667)","('error', 0.007531206)","('grad', 0.006413436)","('dimostr', 0.0052954988)","('commess', 0.004887615)","('esistt', 0.004780229)","('document', 0.0044179736)","('concorrt', 0.0043099914)","('societ', 0.004079067)","('partecip', 0.0040520006)","('accert', 0.003946155)","('irricev', 0.0037571664)","('dedott', 0.0037530416)","('intes', 0.0037325695)"
"('cittadin', 0.017083388)","('soggiorn', 0.015517026)","('animal', 0.013894086)","('produttor', 0.01302351)","('paes', 0.012782504)","('quantit', 0.012056728)","('union', 0.009787434)","('agricol', 0.009758227)","('latt', 0.00923067)","('produzion', 0.0074813566)","('territor', 0.0071110404)","('azi', 0.0066164583)","('regn', 0.005885517)","('regim', 0.005827514)","('prodott', 0.0053764633)","('unit', 0.0053608366)","('bass', 0.0051451693)","('pag', 0.0050473404)","('prel', 0.0050057126)","('carn', 0.0048118387)","('rettif', 0.004622928)","('prem', 0.0045627565)","('permess', 0.004544413)","('provved', 0.004258706)","('organizz', 0.0040791784)"
"('rif', 0.03075627)","('repubbl', 0.019274479)","('inademp', 0.017989911)","('frances', 0.015786301)","('regn', 0.0152418725)","('alleg', 0.009924343)","('unit', 0.008600746)","('trasposizion', 0.008367295)","('incombent', 0.008005756)","('rilasc', 0.007963253)","('decret', 0.007900242)","('parl', 0.0077700415)","('patent', 0.0077179493)","('provved', 0.0073519736)","('spedizion', 0.0071314913)","('notif', 0.0069607217)","('italian', 0.006953954)","('guid', 0.006609821)","('smalt', 0.0061731897)","('recuper', 0.006053275)","('scadenz', 0.005967852)","('regolamentar', 0.0059516216)","('censur', 0.005544817)","('ambient', 0.0054975776)","('adozion', 0.0053889244)"
"('prezz', 0.034310956)","('document', 0.024864467)","('zuccher', 0.018613858)","('access', 0.015783265)","('concorrt', 0.014448939)","('impugn', 0.010002193)","('prodott', 0.00960578)","('tribunal', 0.009312955)","('impres', 0.0092137)","('concorrent', 0.008679154)","('divulg', 0.008323901)","('posizion', 0.008111008)","('domin', 0.0076874914)","('pratic', 0.0076572853)","('tutel', 0.0076415907)","('commercial', 0.0072346814)","('tfu', 0.0071366993)","('eccezion', 0.00705735)","('concentr', 0.00691385)","('vend', 0.0068389117)","('belg', 0.0056787827)","('consum', 0.005477823)","('compar', 0.005448778)","('regn', 0.0052613756)","('union', 0.0048862877)"
"('doganal', 0.05006339)","('codic', 0.020602806)","('esport', 0.018757747)","('daz', 0.018517477)","('regim', 0.0104613155)","('pag', 0.009414141)","('gioc', 0.009178073)","('penal', 0.009103205)","('restitu', 0.0077250875)","('paes', 0.0076357974)","('prodott', 0.0069652474)","('prov', 0.0056998217)","('accert', 0.0056718853)","('uffic', 0.0054557454)","('document', 0.005374378)","('union', 0.0053724595)","('territor', 0.005268501)","('trans', 0.0049290904)","('risors', 0.0047976193)","('mes', 0.004754188)","('dogan', 0.0046487106)","('destin', 0.0045349044)","('azzard', 0.0043928693)","('vers', 0.0043701297)","('valor', 0.004303557)"
"('convenzion', 0.022209356)","('contratt', 0.018848166)","('compett', 0.013292418)","('dann', 0.01061323)","('giurisdizional', 0.010020831)","('union', 0.0099442145)","('accord', 0.00960085)","('assicur', 0.008879146)","('esecu', 0.0077505535)","('civil', 0.007688336)","('azion', 0.0076285056)","('avvoc', 0.0068493597)","('consum', 0.0065813563)","('contraent', 0.0063980445)","('responsabil', 0.006396271)","('clausol', 0.0063179154)","('risarc', 0.0062155863)","('giudiziar', 0.006141865)","('atti', 0.005822483)","('conven', 0.0054230173)","('tutel', 0.0051888837)","('bruxelles', 0.005026449)","('organ', 0.0044090524)","('eserciz', 0.0043815156)","('repubbl', 0.0043426864)"
"('acque', 0.017362498)","('alleg', 0.015483981)","('programm', 0.013362164)","('zon', 0.012591091)","('aere', 0.010905312)","('emission', 0.008938666)","('inquin', 0.008892091)","('region', 0.008146515)","('ambient', 0.007609446)","('pian', 0.0073238853)","('valor', 0.0063979398)","('viagg', 0.006367081)","('scaric', 0.005460719)","('vol', 0.005200154)","('irland', 0.005153771)","('aeroport', 0.0050889486)","('terren', 0.0050191376)","('ambiental', 0.004549073)","('criter', 0.004517242)","('variet', 0.0044282996)","('relazion', 0.004326583)","('protocoll', 0.0042801676)","('decret', 0.004272586)","('azot', 0.004253344)","('regn', 0.0042445255)"
"('prodott', 0.06983725)","('marc', 0.048919108)","('registr', 0.023622805)","('consum', 0.013035771)","('segn', 0.011582661)","('denomin', 0.009460109)","('commerc', 0.009420711)","('vend', 0.0089241825)","('uam', 0.008616491)","('caratt', 0.008607071)","('impres', 0.008124004)","('commercializz', 0.0080100885)","('distint', 0.007629008)","('form', 0.0075625298)","('tutel', 0.0058647357)","('ident', 0.0056652674)","('origin', 0.0056365766)","('risc', 0.005449133)","('anterior', 0.0051466743)","('fabbric', 0.004811397)","('alimentar', 0.0046889563)","('viet', 0.0046843207)","('caratterist', 0.004671836)","('bevand', 0.0044492353)","('confezion', 0.004442758)"
