"('animal', 0.014854031)","('quantit', 0.012036671)","('agricol', 0.011181342)","('produttor', 0.011141138)","('inademp', 0.008667682)","('frances', 0.008640352)","('latt', 0.00851866)","('produzion', 0.0075876424)","('repubbl', 0.007566828)","('azi', 0.0075484747)","('regim', 0.0068875873)","('pag', 0.006218127)","('alleg', 0.0057279933)","('ellen', 0.0052867304)","('modif', 0.005180914)","('settor', 0.0050742235)","('agricoltor', 0.0050187213)","('quot', 0.004815748)","('decret', 0.004768868)","('prel', 0.004720341)","('rettif', 0.004548704)","('mes', 0.0045366352)","('prem', 0.004468193)","('scadenz', 0.0043552006)","('trasposizion', 0.004353997)"
"('doganal', 0.05240193)","('esport', 0.02503302)","('codic', 0.020856835)","('daz', 0.020109357)","('regim', 0.012167828)","('pag', 0.010864357)","('restitu', 0.010152848)","('paes', 0.009980339)","('portoghes', 0.008733171)","('prodott', 0.008675931)","('prov', 0.007392449)","('repubbl', 0.0064940243)","('certific', 0.006204123)","('document', 0.006059413)","('uffic', 0.005777483)","('accert', 0.005344206)","('risors', 0.005243118)","('territor', 0.0052219275)","('diplom', 0.0050093518)","('vers', 0.004981479)","('destin', 0.0049628275)","('mes', 0.0048410874)","('trans', 0.0048166797)","('union', 0.004637969)","('dogan', 0.00460594)"
"('trasport', 0.03342915)","('veicol', 0.016362034)","('pesc', 0.013347826)","('nav', 0.010381452)","('aere', 0.009840692)","('emission', 0.0071177008)","('passegger', 0.0058100275)","('tass', 0.0055258498)","('internazional', 0.005039324)","('repubbl', 0.004928787)","('vol', 0.0047901636)","('immatricol', 0.0047568846)","('aeroport', 0.004703501)","('viagg', 0.0046475194)","('settor', 0.0046285717)","('ret', 0.0045916364)","('port', 0.0045239204)","('union', 0.0044247503)","('tecnic', 0.004265715)","('tfu', 0.0041341246)","('navig', 0.003994743)","('paes', 0.0038509767)","('territor', 0.0038201553)","('accord', 0.0038103587)","('impiant', 0.003808619)"
"('medicinal', 0.017809702)","('consum', 0.010753592)","('commercial', 0.009001369)","('vend', 0.008698485)","('societ', 0.007924368)","('invest', 0.0062265657)","('prezz', 0.0059333183)","('client', 0.0055597685)","('distribu', 0.0054491293)","('nozion', 0.0054452973)","('trasmission', 0.0053752623)","('ret', 0.0053694504)","('contratt', 0.0051723784)","('programm', 0.005091946)","('gestion', 0.004679777)","('commerc', 0.0045491345)","('cred', 0.004398536)","('remuner', 0.004335097)","('impres', 0.0043319003)","('televis', 0.004307057)","('fornitor', 0.0042929263)","('utent', 0.0042644753)","('tutel', 0.004192867)","('form', 0.0040707923)","('access', 0.00398279)"
"('impost', 0.04011956)","('ben', 0.025405852)","('sest', 0.024498364)","('prestazion', 0.021147307)","('pass', 0.015314914)","('valor', 0.014609959)","('cession', 0.012153117)","('fiscal', 0.012104965)","('esenzion', 0.010748501)","('acquist', 0.0094217155)","('rimbors', 0.008205405)","('aggiunt', 0.007902901)","('impon', 0.0077547557)","('medic', 0.0076538944)","('immobil', 0.006776223)","('pag', 0.006555343)","('detrazion', 0.0060695033)","('vers', 0.0059772083)","('impres', 0.0054960772)","('societ', 0.005447289)","('esent', 0.005397081)","('fattur', 0.0052731507)","('oner', 0.0050411127)","('assoggett', 0.0049129506)","('prezz', 0.004889635)"
"('gioc', 0.0152015705)","('document', 0.015104467)","('giurisdizional', 0.012678125)","('tutel', 0.011732157)","('union', 0.011388505)","('access', 0.010414474)","('compett', 0.009618213)","('organizz', 0.007926235)","('minor', 0.007864653)","('provved', 0.0073045897)","('azzard', 0.006208428)","('eccezion', 0.006107291)","('fondamental', 0.0059368433)","('libert', 0.005396206)","('tribunal', 0.0052267867)","('diviet', 0.0052092965)","('divulg', 0.0051283967)","('regn', 0.0048349844)","('scommess', 0.0047222273)","('legittim', 0.0043271943)","('giustific', 0.004188909)","('personal', 0.0041353335)","('svez', 0.003950715)","('persegu', 0.0038265379)","('atti', 0.0037953688)"
"('lavor', 0.04510968)","('societ', 0.030311305)","('impost', 0.014982881)","('prestazion', 0.011813314)","('resident', 0.011248543)","('social', 0.011068756)","('redd', 0.010738455)","('pension', 0.010678992)","('regim', 0.010185416)","('fiscal', 0.0101474505)","('capital', 0.010107443)","('vers', 0.007666207)","('assicur', 0.0076016523)","('retribu', 0.007477636)","('divid', 0.0064932113)","('azion', 0.006138023)","('dator', 0.0060349437)","('impres', 0.0059674582)","('sed', 0.005698475)","('belg', 0.005396085)","('percep', 0.004995421)","('imposizion', 0.0048600626)","('liber', 0.0047877072)","('pag', 0.004689847)","('util', 0.0046174168)"
"('aiut', 0.05292075)","('impugn', 0.015087161)","('repubbl', 0.013982728)","('regim', 0.012070344)","('italian', 0.0112171015)","('recuper', 0.011041954)","('tribunal', 0.010940512)","('impres', 0.009485178)","('beneficiar', 0.007803511)","('ital', 0.00731003)","('concess', 0.007130575)","('esecu', 0.007083152)","('nuov', 0.0065966765)","('argoment', 0.005669943)","('annull', 0.005582921)","('legittim', 0.005416992)","('violazion', 0.004765666)","('finanziar', 0.004660187)","('contrib', 0.004479758)","('favor', 0.0043309927)","('settor', 0.003972962)","('respint', 0.0037654333)","('illegittim', 0.003759654)","('vers', 0.0037158334)","('rimbors', 0.0035984246)"
"('tribunal', 0.055961818)","('impugn', 0.04233569)","('ricorrent', 0.025849557)","('impres', 0.0140281245)","('annull', 0.011390583)","('argoment', 0.011373963)","('prov', 0.010514051)","('ammend', 0.009877494)","('infrazion', 0.009713667)","('violazion', 0.008474669)","('accord', 0.008321205)","('respint', 0.008281736)","('error', 0.008002172)","('concorrt', 0.0071502407)","('dimostr', 0.005854617)","('grad', 0.0055746916)","('document', 0.005369323)","('prezz', 0.005040957)","('esistt', 0.004854456)","('commess', 0.0046598646)","('posizion', 0.004470017)","('partecip', 0.00429493)","('societ', 0.00420547)","('intes', 0.0041048904)","('pratic', 0.004095239)"
"('marc', 0.08490255)","('registr', 0.0440937)","('prodott', 0.04092156)","('segn', 0.020306736)","('uam', 0.014942712)","('impres', 0.013975965)","('zuccher', 0.013291239)","('caratt', 0.013240017)","('distint', 0.013117682)","('denomin', 0.00982044)","('form', 0.009675223)","('anterior', 0.00877337)","('ident', 0.008181525)","('origin', 0.00797422)","('consum', 0.00691129)","('risc', 0.0068348646)","('commerc', 0.006304407)","('tutel', 0.005702209)","('confusion', 0.0053589726)","('somigl', 0.005342591)","('nom', 0.005049048)","('opposizion', 0.0048886016)","('modell', 0.0048663314)","('tribunal', 0.004727516)","('disegn', 0.0046328027)"
"('appalt', 0.026105814)","('dann', 0.012401624)","('organ', 0.012101068)","('aggiud', 0.01192497)","('penal', 0.0118705565)","('aggiudic', 0.010405546)","('sanzion', 0.009107941)","('gar', 0.0081274025)","('union', 0.008057102)","('risarc', 0.007881589)","('violazion', 0.0077147204)","('offert', 0.007235063)","('patent', 0.007118455)","('guid', 0.0064309775)","('azion', 0.0064207213)","('esecu', 0.006333671)","('responsabil', 0.00545567)","('band', 0.0053255167)","('criter', 0.005207625)","('enti', 0.004989827)","('provved', 0.004895791)","('quadr', 0.0048137885)","('impres', 0.0045947665)","('respons', 0.0042867367)","('prescrizion', 0.0041382737)"
"('prodott', 0.0593904)","('consum', 0.011346652)","('alleg', 0.0090504475)","('voc', 0.008936671)","('sal', 0.0086688725)","('commercializz', 0.008511915)","('aliment', 0.00802434)","('destin', 0.007259878)","('accis', 0.0072470107)","('vend', 0.007049407)","('commerc', 0.0069708065)","('classif', 0.006559461)","('alimentar', 0.006319834)","('not', 0.0061007384)","('fabbric', 0.0060003274)","('immission', 0.0056786058)","('imballagg', 0.0053700786)","('sottovoc', 0.0053678257)","('funzion', 0.0047198953)","('bevand', 0.0046905833)","('uman', 0.004651461)","('circol', 0.0046145692)","('armonizz', 0.004602158)","('alcol', 0.0045660497)","('caratterist', 0.0045622303)"
"('regn', 0.01771816)","('spec', 0.015499478)","('zon', 0.01406462)","('alleg', 0.013719876)","('acque', 0.010903301)","('progett', 0.01085046)","('sit', 0.010116768)","('irland', 0.00942392)","('repubbl', 0.009023241)","('habitat', 0.00855889)","('conserv', 0.008143639)","('protezion', 0.008128245)","('unit', 0.008122121)","('spagn', 0.00795141)","('region', 0.00715581)","('ambient', 0.006947284)","('pian', 0.0065612956)","('inademp', 0.0062586362)","('uccell', 0.0061689485)","('elenc', 0.005563507)","('programm', 0.0055396557)","('inquin', 0.0055360207)","('natural', 0.005219944)","('territor', 0.0051982068)","('censur', 0.00476577)"
"('cittadin', 0.0320592)","('lavor', 0.018116277)","('territor', 0.017878799)","('soggiorn', 0.017799089)","('union', 0.011960795)","('circol', 0.01121276)","('prestazion', 0.010861716)","('liber', 0.01059966)","('paes', 0.010352373)","('assicur', 0.0100384755)","('rilasc', 0.008867742)","('residt', 0.00870702)","('ospit', 0.0078288345)","('familiar', 0.006985056)","('anni', 0.006732686)","('turc', 0.0064589838)","('tedesc', 0.006158036)","('formazion', 0.006128447)","('subordin', 0.006093448)","('permess', 0.006084155)","('german', 0.005985603)","('figl', 0.0058270125)","('veicol', 0.005578947)","('professional', 0.004882367)","('risied', 0.00483666)"
"('lavor', 0.050794777)","('contratt', 0.041760713)","('convenzion', 0.026055977)","('accord', 0.0243925)","('temp', 0.015906405)","('clausol', 0.011944015)","('compett', 0.010164889)","('rapport', 0.009784491)","('contraent', 0.008873382)","('quadr', 0.0074345246)","('conclus', 0.0068523083)","('dipendent', 0.006700055)","('conven', 0.0065029482)","('impieg', 0.006469571)","('bruxelles', 0.0064083827)","('personal', 0.005525312)","('dator', 0.005480545)","('collett', 0.005332426)","('tutel', 0.005097215)","('civil', 0.004971324)","('agent', 0.0049050865)","('esecu', 0.0048563117)","('sig.r', 0.0047717323)","('discrimin', 0.004386647)","('dur', 0.004273574)"
